raw_compound,KD_M,reference_date,compound_id,smiles,smiles_source,pKD
CF-2-32,0.0017484077435208115,20200928,CF-2-32,FC1=CC=CC(F)=C1N2CCC(NC(COC3=CC=CC=C3)=O)C2=O,id_with_smiles,2.757357278731852
CF-2-49,,20200928,CF-2-49,O=C1N(C2=CC=CC=C2)CC(C(NCCN(C)C)=O)C1,id_with_smiles,
CF-2-51,0.0001520383451326838,20200928,CF-2-51,O=C1N(C2=CC=CC=C2)CC(C(NC3CCN(C)CC3)=O)C1.O=CO,id_with_smiles,3.8180468661384883
CF-2-59,0.0006418568075419399,20200928,CF-2-59,O=C1N(C2=CC=CC=C2)CC(C(N3CCOCC3)=O)C1,id_with_smiles,3.192561848302839
CF-2-69,0.0003281909646460329,20200928,CF-2-69,O=C1N(C2=C(F)C=CC=C2)CC(C(NC3=CC=CC=C3)=O)C1,id_with_smiles,3.4838733795851344
CF-3-37,0.0004938052758316608,20200928,CF-3-37,COC1=CC=C(C)C=C1NC(CNC(CCC2=CC=CC=C2)=O)=O,id_with_smiles,3.3064442743629003
CF-3-38,,20200928,CF-3-38,CC1=CC=C(OC)C(NC(NCC2=CC=CC=C2)=O)=C1,id_with_smiles,
CF-4-09,,20200928,CF-4-09,FC1=CC(Cl)=CN=C1N[C@H]2CN(C(OC(C)(C)C)=O)CC2,id_with_smiles,
CF-4-10,,20200928,CF-4-10,FC1=CC(Cl)=CN=C1NC2CCN(C(OC(C)(C)C)=O)CC2,id_with_smiles,
CF-4-55',,20200928,CF-4-55',BrC1=CN=C(Cl)C(NCCC2=CC=C(F)C=C2)=C1,id_with_smiles,
CF-4-56,0.0003037834025190799,20200928,CF-4-56,CN(C1=NC2=C(C=C(Br)C=C2)C=C1)[C@@H](C)CO,id_with_smiles,3.5174359578968226
CF-5-81,0.0010528770509451411,20200928,CF-5-81,CC(NC(C=C1)=CC=C1NC2=NC=CC=N2)=O,id_with_smiles,2.9776223403184137
CF-5-82,0.0001600528355646935,20200928,CF-5-82,CC(NC(C=C1)=CC=C1N(C)C2=NC=CC=N2)=O,id_with_smiles,3.7957366273043487
CF-6-21*,0.0010239670295560212,20200928,CF-6-21,,unresolved,2.9897140268683993
CF-6-22,0.0005342693701396106,20200928,CF-6-22,O=C(O)C1CN(C(C2=CC=C(C(N)=O)C=C2)=O)C3=CC=CC=C31,id_with_smiles,3.272239723366517
CF-6-28,0.00016626004970023739,20200928,CF-6-28,O=C(O)C1CN(C(C2=CC=C(C)C=C2)=O)C3=CC=CC=C31,id_with_smiles,3.7792120940101404
CF-6-30,,20200928,CF-6-30,O=C(O)C1CN(C(C2=CC(N3CCOCC3)=CC=C2)=O)C4=CC=CC=C41,id_with_smiles,
CF-6-57,0.0016924365899929701,20200928,CF-6-57,O=C(O)C1CN(C(C2=CC(F)=C(F)C(F)=C2)=O)C3=CC=CC=C31,id_with_smiles,2.7714875939172847
CF-6-65,0.0002609838075332214,20200928,CF-6-65,O=C(O)C1CN(C(CCC2=CN=CN2)=O)C3=CC=CC=C31,id_with_smiles,3.5833864371717636
CF-6-66,0.0009408553016503713,20200928,CF-6-66,O=C(O)C1CN(C([C@@H]2COC(C=CC=C3)=C3O2)=O)C4=CC=CC=C41,id_with_smiles,3.0264771635301173
CF-6-73,0.005104898873929417,20200928,CF-6-73,O=C(O)C1CN(C(CN2CCOCC2)=O)C3=CC=CC=C31,id_with_smiles,2.29201285669743
CF-2-08,,20200928,CF-2-08,O=C1N(C2=C(Cl)C=CC=C2)CCC1NC3=CC=CC(OC)=C3,id_with_smiles,
CF-2-13,0.00036560891150655016,20200928,CF-2-13,ClC1=C(N2C(C(NC3CCCCC3)CC2)=O)C=CC=C1,id_with_smiles,3.436983227131443
CF-2-33,0.0007031348460920902,20200928,CF-2-33,FC1=CC=CC(F)=C1N2CCC(NC(COC3=CC=CC=C3Cl)=O)C2=O,id_with_smiles,3.1529613786817543
