pocket,query_pdb,query_ligand,query_smiles,hit_smiles,hit_inchikey,similarity,price_usd,supplier_risk,chemistry_risk,all_pockets,mw,logp,hbd,hba,heavy_atoms,num_rings,max_fused_rings,pains,bad_motifs,fused_benzene_rings
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2,CN1CCN(C(=O)Nc2ccc(N(c3ccccc3)c3ccccc3)cc2)CC1,JXZFLVIJWWRPBJ-UHFFFAOYSA-N,0.7647058963775635,375,low,,A,386.210661452,4.935700000000004,1,3,29,4,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,CC(=O)Nc1ccc(-c2ccc(-c3csc(N)n3)s2)cc1,OGBLDAKCKSADDL-UHFFFAOYSA-N,0.7631579041481018,250,low,,A,315.050004036,4.079200000000002,2,5,21,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,Cc1ccc(NC(=O)Nc2ccc(-c3csc(N)n3)cc2)cc1,FDKNQAVMEAFDRT-UHFFFAOYSA-N,0.7567567825317383,885,low,,A,324.104482132,4.344720000000002,3,4,23,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,Cc1ccc(C(=O)Nc2ccc(-c3csc(N4CCOCC4)n3)cc2)cc1,IFDBTKRSIWHHKA-UHFFFAOYSA-N,0.7551020383834839,885,low,,A,379.135447912,4.207420000000003,1,5,27,4,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(C)CC(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,GYCFIIGEVXQDMO-UHFFFAOYSA-N,0.7551020383834839,885,low,,A,345.151097976,3.631300000000002,1,5,24,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(C)NC(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,ICCIZYWMRLXMPN-UHFFFAOYSA-N,0.7551020383834839,375,low,,A,346.146346944,3.1766000000000014,2,5,24,3,1,False,,1
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1ccc(-c2cccc(C(=O)N3CCC(C(N)=O)CC3)c2)cc1,WXJWQBUXLDISEB-UHFFFAOYSA-N,0.75,125,low,,A,322.168127944,2.9995200000000013,1,2,24,3,1,False,,1
A,5QRN,NX7,c1cc(c(c(c1)F)C(=O)N2CCCC2)F,O=C(c1c(F)cccc1I)N1CCCCC1,ANHOZQXUAPWHSS-UHFFFAOYSA-N,0.75,125,low,,A,333.002590256,3.056400000000002,0,1,16,2,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,CC(=O)Nc1cccc(-c2ccc(-c3csc(N)n3)cc2)c1,URSUPSVKLWFBFB-UHFFFAOYSA-N,0.7435897588729858,375,low,,A,309.09358310000005,4.017700000000002,2,4,22,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,C=C(C)C(=O)Nc1ccc(-c2ccc(-c3csc(N)n3)cc2)cc1,QQODBWIGGYPKDX-UHFFFAOYSA-N,0.7435897588729858,1620,low,,A,335.10923316400005,4.573900000000003,2,4,24,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,CC(=O)Nc1ccc(-c2csc(-c3csc(N)n3)c2)cc1,WABYBROVDIJLQH-UHFFFAOYSA-N,0.7435897588729858,375,low,,A,315.050004036,4.079200000000002,2,5,21,3,1,False,,1
A,5QRI,NUY,CC(C)N1CCN(CC1)C(=O)c2cccs2,CC(C)N1CCN(C(=O)c2ccccc2C(=O)c2cccs2)CC1,IPCXJIANCXEHSG-UHFFFAOYSA-N,0.7435897588729858,125,low,,A,342.140198944,3.1453000000000024,0,4,24,3,1,False,,1
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccc(C(=O)N2CCN(C(=O)C3CC3)CC2)cc1)c1ccco1,SXLXPMLFEZUZKG-UHFFFAOYSA-N,0.7435897588729858,375,low,,A,352.14230712,2.205,0,4,26,4,1,False,,1
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2,CN1CCCN(C(=O)Nc2ccc(-c3ccccc3)cc2)CC1,ILKSILIFAVYKHF-UHFFFAOYSA-N,0.7428571581840515,375,low,,A,309.184112356,3.5230000000000024,1,2,23,3,1,False,,1
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2,CN1CCCN(C(=O)Nc2ccc(-c3ccc(-c4ccccc4)cc3)cc2)CC1,VWNLVTQOZDLHQD-UHFFFAOYSA-N,0.7428571581840515,375,low,,A,385.215412484,5.190000000000005,1,2,29,4,1,False,,1
A,5QRT,GWA,CC(=O)Nc1cccc(c1)NC(=O)COC,COCCOCCOCC(=O)Nc1cccc(NC(C)=O)c1,FBKVOGNLBLXKDR-UHFFFAOYSA-N,0.7428571581840515,375,low,,A,310.152871804,1.2630999999999994,2,5,22,1,1,False,,1
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2,CN1CCN(C2CCN(C(=O)Nc3ccccc3)CC2)CC1,WHLXMLDLEQDZHP-UHFFFAOYSA-N,0.7428571581840515,375,low,,A,302.210661452,1.9303,1,3,22,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,CC(C)C(=O)Nc1ccc(-c2ccc(-c3csc(N)n3)cc2)cc1,QOBKSKZULHHXLT-UHFFFAOYSA-N,0.7368420958518982,375,low,,A,337.12488322800004,4.653800000000003,2,4,24,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,CNC(=O)Nc1ccc(-c2ccc(-c3csc(N)n3)cc2)cc1,BBGDSBXISJFJAE-UHFFFAOYSA-N,0.7368420958518982,375,low,,A,324.104482132,3.810600000000001,3,4,23,3,1,False,,1
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1cccc(-c2ccc(C(=O)N3CCC(C(N)=O)CC3)cc2)c1,AWOSUXLKFNNNEX-UHFFFAOYSA-N,0.7317073345184326,125,low,,A,322.168127944,2.9995200000000013,1,2,24,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,Nc1nc(-c2ccc(NC(=O)Nc3ccccc3)cc2)cs1,PDUXIIISYRBISH-UHFFFAOYSA-N,0.7297297120094299,1620,low,,A,310.08883206800004,4.0363000000000016,3,4,22,3,1,False,,1
A,5QRV,K2M,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)N,NC(=O)N1CCN(C(=O)c2ccc(C(=O)c3ccco3)cc2)CC1,KFDHCDUIFSCUTC-UHFFFAOYSA-N,0.7297297120094299,885,low,,A,327.121906024,1.3471000000000004,1,4,24,3,1,False,,1
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1cccc(-c2cccc(C(=O)N3CCC(Cl)CC3)c2)c1,AHIOFAUQRALAII-UHFFFAOYSA-N,0.7250000238418579,125,low,,A,313.12334194,4.5054200000000035,0,1,22,3,1,False,,1
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1cccc(-c2ccc(C(=O)N3CCC(C(N)=O)CC3)cc2C)c1,RSFZQXXAEMMFFL-UHFFFAOYSA-N,0.7209302186965942,125,low,,A,336.183778008,3.307940000000001,1,2,25,3,1,False,,1
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1ccc(-c2cccc(C(=O)N3CCC(C(N)=O)CC3)c2)c(C)c1,LAEOLMAYPQXRTI-UHFFFAOYSA-N,0.7209302186965942,125,low,,A,336.183778008,3.307940000000001,1,2,25,3,1,False,,1
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,NC(=O)C1CCN(C(=O)c2cccc(C(=O)c3ccccc3)c2)CC1,PMNXLWRSEXMDDO-UHFFFAOYSA-N,0.7179487347602844,125,low,,A,336.1473925,2.2550999999999997,1,3,25,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,CN(C)C(=O)Nc1ccc(-c2ccc(-c3csc(N)n3)cc2)cc1,JJDVUQWZZGKTOH-UHFFFAOYSA-N,0.7179487347602844,375,low,,A,338.12013219600004,4.152800000000002,2,4,24,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,CC(C)(C)C(=O)Nc1ccc(-c2ccc(-c3csc(N)n3)cc2)cc1,OJJIBRTXAUBEOY-UHFFFAOYSA-N,0.7179487347602844,375,low,,A,351.14053329200004,5.043900000000003,2,4,25,3,1,False,,1
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1cccc(-c2cccc(C(=O)N3CC[C@H](C(N)=O)C3)c2)c1,ALOLVVVIEKUSTG-KRWDZBQOSA-N,0.7142857313156128,125,low,,A,308.15247788,2.609420000000001,1,2,23,3,1,False,,1
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1cccc(-c2cccc(C(=O)N3CCC(C(N)=O)C3)c2)c1,ALOLVVVIEKUSTG-UHFFFAOYSA-N,0.7142857313156128,125,low,,A,308.15247788,2.609420000000001,1,2,23,3,1,False,,1
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2,CN1CCC(N2CCN(C(=O)Nc3ccccc3)CC2)CC1,RLXMMBJIGGPLQE-UHFFFAOYSA-N,0.7142857313156128,1620,low,,A,302.210661452,1.9302999999999997,1,3,22,3,1,False,,1
